density	ascii	mb	observed	predicted	residual
0.15	2	0	4.278706	4.097297	0.181409
0.15	4	0	4.272814	4.256910	0.015904
0.15	8	0	4.280335	4.590569	-0.310234
0.15	12	0	5.587535	4.943470	0.644065
0.15	20	0	5.588318	5.707000	-0.118682
0.05	8	0	3.680688	4.097354	-0.416666
0.30	8	0	5.127728	5.330390	-0.202662
0.50	8	0	6.284627	6.316819	-0.032192
0.15	8	1	8.024296	5.996251	2.028045
0.15	8	2	9.100019	10.213296	-1.113277
0.15	8	3	17.511157	17.241705	0.269452
0.15	8	0	4.274982	4.590569	-0.315587
0.15	8	0	4.277260	4.590569	-0.313309
0.15	8	0	4.274304	4.590569	-0.316265
