density	rounds	observed	predicted	residual
0.15	1	4.264871	4.305391	-0.040520
0.15	1	4.266004	4.305391	-0.039387
0.15	1	4.236034	4.305391	-0.069357
0.15	2	5.455910	6.058415	-0.602505
0.15	2	5.460534	6.058415	-0.597881
0.05	1	3.639298	3.737136	-0.097838
0.30	1	5.136450	5.157773	-0.021323
0.50	1	6.275468	6.294283	-0.018815
0.15	2	7.650024	6.058415	1.591609
0.15	3	8.292731	7.811439	0.481292
0.15	4	9.113194	9.564463	-0.451269
0.15	1	4.266327	4.305391	-0.039064
0.15	1	4.265801	4.305391	-0.039590
0.15	1	4.250040	4.305391	-0.055351
